name,province
Aadorp,Overijssel
Aagtdorp,Noord-Holland
Aagtekerke,Zeeland
Aalbeek,Limburg
Aalden,Drenthe
Aaldonk,Limburg
Aalsmeer,Noord-Holland
Aalst (Buren),Gelderland
Aalst (Noord-Brabant),Noord-Brabant
Aalst (Zaltbommel),Gelderland
Aalsum (Noardeast-Fryslân),Friesland
Aalsum (Westerkwartier),Groningen
Aalten,Gelderland
Aam,Gelderland
Aan de Rijksweg,Limburg
Aan de Zuwe,Utrecht
Aan het Broek,Limburg
Aardenburg,Zeeland
Aarlanderveen,Zuid-Holland
Aarle,Noord-Brabant
Aarle-Rixtel,Noord-Brabant
Aartswoud,Noord-Holland
Aasterberg,Limburg
Abbega,Friesland
Abbegaasterketting,Friesland
Abbekerk,Noord-Holland
Abbekerkeweere,Noord-Holland
Abbekinderen,Zeeland
Abbenbroek,Zuid-Holland
Abbenes,Noord-Holland
Abbengawier,Friesland
Abbestede,Noord-Holland
Abbeweer,Groningen
Abbewier,Friesland
Abcoude,Utrecht
Abcoven,Noord-Brabant
Abeltjeshuis,Groningen
Absdale,Zeeland
Abshoven,Limburg
Abtswoude,Zuid-Holland
Achlum,Friesland
Acht,Noord-Brabant
Achter het Klooster,Limburg
Achter 't Hout,Drenthe
Achterberg,Utrecht
Achterbos,Utrecht
Achterbosch (Asten),Noord-Brabant
Achterbosch (Laarbeek),Noord-Brabant
Achterbroek (Noord-Brabant),Noord-Brabant
Achterbroek (Zuid-Holland),Zuid-holland
Achterdichting (Katwoude),Noord-Holland
Achterdichting (Oostzaan),Noord-Holland
Achterdiep,Groningen
Achterdijk (Noord-Brabant),Noord-Brabant
Achterdijk (Utrecht),Utrecht
Achter-Drempt,Gelderland
Achtereind,Noord-Brabant
Achterhoek (Nijkerk),Gelderland
Achterhoek (Overijssel),Overijssel
Achter-Lindt,Zuid-Holland
Achtersloot,Utrecht
Achterste Brug,Noord-Brabant
Achterste Diesdonk,Noord-Brabant
Achterste Erm,Drenthe
Achterste Hees,Limburg
Achterste Heide,Noord-Brabant
Achterste Heikant,Noord-Brabant
Achterste Hermalen,Noord-Brabant
Achterste Rith,Noord-Brabant
Achter-Thesinge,Groningen
Achterveld (Barneveld),Utrecht
Achterveld (Leusden),Utrecht
Achterwetering,Utrecht
Achthoven (Leiderdorp),Zuid-Holland
Achthoven (Montfoort),Utrecht
Achthoven (Vijfheerenlanden),Utrecht
Achthuizen,Zuid-Holland
Achtmaal,Noord-Brabant
Achttienhoven (Utrecht),Utrecht
Achttienhoven (Zuid-Holland),Zuid-Holland
Acquoy,Gelderland
Adorp,Groningen
Aduard,Groningen
Aduarder Voorwerk,Groningen
Aduarderzijl,Groningen
Aegum,Friesland
Aekinga,Friesland
Aerdenburg,Gelderland
Aerdenhout,Noord-Holland
Aerdt,Gelderland
Afferden (Gelderland),Gelderland
Afferden (Limburg),Limburg
Agelo,Overijssel
Agodorp,Groningen
Aijen,Limburg
Akersloot,Noord-Holland
Akker,Noord-Brabant
Akkerput,Zeeland
Akkerwoude,Friesland
Akkrum,Friesland
Akmarijp,Friesland
Albergen,Overijssel
Alblasserdam,Zuid-Holland
Alem,Gelderland
Alendorp,Utrecht
Alinghuizen,Groningen
Alkmaar,Noord-Holland
Allardsoog,Groningen (border)
Allersma,Groningen
Allingawier,Friesland
Almelo,Overijssel
Almen,Gelderland
Almenum,Friesland
Almere,Flevoland
Almkerk,Noord-Brabant
Alphen aan den Rijn,Zuid-Holland
Alphen (Gelderland),Gelderland
Alphen (Noord-Brabant),Noord-Brabant
Alphen-Oosterwijk,Noord-Brabant
Altena (Drenthe),Drenthe
Altena (Terneuzen),Zeeland
Alteveer (De Wolden),Drenthe
Alteveer (Hoogeveen),Drenthe
Alteveer (Noordenveld),Drenthe
Alteveer (Stadskanaal),Groningen
Altforst,Gelderland
Alting,Drenthe
Altweerterheide,Limburg
Alverna,Gelderland
Alvershool,Noord-Brabant
Ameide,Utrecht
Amen,Drenthe
America, Limburg
Amerika, Drenthe
Amerongen,Utrecht
Amersfoort,Utrecht
Ammerstol,Zuid-Holland
Ammerzoden,Gelderland
Ampsen,Gelderland
Amstelhoek,Utrecht
Amstelveen,Noord-Holland
Amstenrade,Limburg
Amsterdam,Noord-Holland
Amsterdamscheveld,Drenthe
Amsweer,Groningen
Andel,Noord-Brabant
Andelst,Gelderland
Anderen,Drenthe
Anderwereld,Groningen
Andijk,Noord-Holland
Ane,Overijssel
Anerveen,Overijssel
Anevelde,Overijssel
Angeren,Gelderland
Angerlo,Gelderland
Anholt,Drenthe
Anjum,Friesland
Ankeveen,Noord-Holland
Ankum,Overijssel
Anloo,Drenthe
Anna Jacobapolder,Zeeland
Anna Paulowna,Noord-Holland
Anneburen (Heerenveen), Friesland
Anneburen (Súdwest-Fryslân), Friesland
Annen,Drenthe
Annerveenschekanaal,Drenthe
Anreep,Drenthe
Ansen,Drenthe
Antum,Groningen
Apeldoorn,Gelderland
